Legislation Number,URL,Congress,Title,Amends Bill,Sponsor,Date Offered,Date of Introduction,Number of Cosponsors,Date Submitted,Date Proposed,Committees,Latest Action,Latest Action Date,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject
S. 4707,https://www.congress.gov/bill/116th-congress/senate-bill/4707,116th Congress (2019-2020),"Verifiable, Orderly, and Timely Election Results Act",,"Scott, Rick [Sen.-R-FL]",,9/24/20,0,,,Senate - Rules and Administration,Read twice and referred to the Committee on Rules and Administration.,9/24/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government Operations and Politics,State and local government operations,Postal service,"Elections, voting, political campaign regulation",Fraud offenses and financial crimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4708,https://www.congress.gov/bill/116th-congress/senate-bill/4708,116th Congress (2019-2020),"Pandemic Preparedness, Response, and Recovery Act of 2020",,"Lankford, James [Sen.-R-OK]",,9/24/20,5,,,Senate - Homeland Security and Governmental Affairs,Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,9/24/20,"Loeffler, Kelly [Sen.-R-GA]","Johnson, Ron [Sen.-R-WI]","Portman, Rob [Sen.-R-OH]","Braun, Mike [Sen.-R-IN]","Barrasso, John [Sen.-R-WY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business investment and capital,Congressional oversight,Health care coverage and access,Emergency medical services and trauma care,Government Operations and Politics,Health programs administration and funding,Administrative law and regulatory procedures,Small business,Cardiovascular and respiratory health,Wages and earnings,Infectious and parasitic diseases,Economic performance and conditions,Advisory bodies,Competition and antitrust,Employee hiring,Legislative rules and procedure,Public participation and lobbying,Congressional operations and organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4709,https://www.congress.gov/bill/116th-congress/senate-bill/4709,116th Congress (2019-2020),PREVENT DIABETES Act,,"Scott, Tim [Sen.-R-SC]",,9/24/20,5,,,Senate - Finance,Read twice and referred to the Committee on Finance.,9/24/20,"Smith, Tina [Sen.-D-MN]","Sinema, Kyrsten [Sen.-D-AZ]","Cotton, Tom [Sen.-R-AR]","Cramer, Kevin [Sen.-R-ND]","Warner, Mark R. [Sen.-D-VA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,Administrative law and regulatory procedures,Department of Health and Human Services,Digestive and metabolic diseases,Health promotion and preventive care,Physical fitness and lifestyle,Nutrition and diet,"Health technology, devices, supplies",Internet and video services,Medicare,"Internet, web applications, social media",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4715,https://www.congress.gov/bill/116th-congress/senate-bill/4715,116th Congress (2019-2020),"A bill to grant Federal charter to the National American Indian Veterans, Incorporated.",,"Rounds, Mike [Sen.-R-SD]",,9/24/20,9,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,9/24/20,"Inhofe, James M. [Sen.-R-OK]","Daines, Steve [Sen.-R-MT]","Sullivan, Dan [Sen.-R-AK]","Thune, John [Sen.-R-SD]","Cassidy, Bill [Sen.-R-LA]","Cramer, Kevin [Sen.-R-ND]","Moran, Jerry [Sen.-R-KS]","Rubio, Marco [Sen.-R-FL]","Loeffler, Kelly [Sen.-R-GA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Native Americans,Federally chartered organizations,General Native American affairs matters,Veterans' organizations and recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4716,https://www.congress.gov/bill/116th-congress/senate-bill/4716,116th Congress (2019-2020),Camp Lejeune Justice Act of 2020,,"Tillis, Thomas [Sen.-R-NC]",,9/24/20,1,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,9/24/20,"Blumenthal, Richard [Sen.-D-CT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4717,https://www.congress.gov/bill/116th-congress/senate-bill/4717,116th Congress (2019-2020),Accelerating Kids’ Access to Care Act,,"Grassley, Chuck [Sen.-R-IA]",,9/24/20,8,,,Senate - Finance,Read twice and referred to the Committee on Finance.,9/24/20,"Baldwin, Tammy [Sen.-D-WI]","Murray, Patty [Sen.-D-WA]","Brown, Sherrod [Sen.-D-OH]","Bennet, Michael F. [Sen.-D-CO]","Portman, Rob [Sen.-R-OH]","Hawley, Josh [Sen.-R-MO]","Perdue, David [Sen.-R-GA]","Capito, Shelley Moore [Sen.-R-WV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,Child health,Department of Health and Human Services,State and local government operations,Intergovernmental relations,Medicaid,Medicare,Administrative law and regulatory procedures,Health personnel,Health care coverage and access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4720,https://www.congress.gov/bill/116th-congress/senate-bill/4720,116th Congress (2019-2020),HAULS Act of 2020,,"Fischer, Deb [Sen.-R-NE]",,9/24/20,12,,,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",9/24/20,"Inhofe, James M. [Sen.-R-OK]","Crapo, Mike [Sen.-R-ID]","Wicker, Roger F. [Sen.-R-MS]","Risch, James E. [Sen.-R-ID]","Blunt, Roy [Sen.-R-MO]","Hoeven, John [Sen.-R-ND]","Daines, Steve [Sen.-R-MT]","Perdue, David [Sen.-R-GA]","Hyde-Smith, Cindy [Sen.-R-MS]","Blackburn, Marsha [Sen.-R-TN]","Cramer, Kevin [Sen.-R-ND]","Boozman, John [Sen.-R-AR]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transportation and Public Works,Transportation safety and security,Transportation employees,Motor vehicles,Motor carriers,Livestock,Labor standards,Insects,Horticulture and plants,Fruit and vegetables,"Forests, forestry, trees",Fishes,Department of Transportation,Aquaculture,Worker safety and health,Administrative law and regulatory procedures,Agricultural practices and innovations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4721,https://www.congress.gov/bill/116th-congress/senate-bill/4721,116th Congress (2019-2020),Securing Our Elections Act of 2020,,"Loeffler, Kelly [Sen.-R-GA]",,9/24/20,6,,,Senate - Rules and Administration,Read twice and referred to the Committee on Rules and Administration.,9/24/20,"Perdue, David [Sen.-R-GA]","Rubio, Marco [Sen.-R-FL]","Tillis, Thomas [Sen.-R-NC]","Cotton, Tom [Sen.-R-AR]","Braun, Mike [Sen.-R-IN]","Johnson, Ron [Sen.-R-WI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Voting rights,Government Operations and Politics,"Elections, voting, political campaign regulation",Criminal procedure and sentencing,Fraud offenses and financial crimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4722,https://www.congress.gov/bill/116th-congress/senate-bill/4722,116th Congress (2019-2020),Transportation and Logistics Hiring Reform Act of 2020,,"Fischer, Deb [Sen.-R-NE]",,9/24/20,1,,,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",9/24/20,"Crapo, Mike [Sen.-R-ID]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transportation and Public Works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4723,https://www.congress.gov/bill/116th-congress/senate-bill/4723,116th Congress (2019-2020),AQUAA Act,,"Wicker, Roger F. [Sen.-R-MS]",,9/24/20,3,,,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",9/24/20,"Moran, Jerry [Sen.-R-KS]","Rubio, Marco [Sen.-R-FL]","Schatz, Brian [Sen.-D-HI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Lands and Natural Resources,Business records,Civil actions and liability,Congressional oversight,"Criminal investigation, prosecution, interrogation",Department of Commerce,Economic performance and conditions,Education programs funding,Emergency planning and evacuation,"Environmental assessment, monitoring, research",Executive agency funding and structure,Federal-Indian relations,Fishes,Food industry and services,"Food supply, safety, and labeling",Fraud offenses and financial crimes,Genetics,Government information and archives,Government studies and investigations,Indian lands and resources rights,Intergovernmental relations,Judicial review and appeals,Labor standards,Law enforcement officers,Licensing and registrations,"Marine and coastal resources, fisheries","Migrant, seasonal, agricultural labor",Natural disasters,Public participation and lobbying,Research administration and funding,Research and development,Seafood,State and local government operations,Veterinary medicine and animal diseases,Water quality,Watersheds,Advisory bodies,Administrative law and regulatory procedures,Agricultural education,Agricultural marketing and promotion,Agricultural research,Alaska Natives and Hawaiians,Animal and plant health,Aquaculture,Assault and harassment offenses,Business investment and capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4729,https://www.congress.gov/bill/116th-congress/senate-bill/4729,116th Congress (2019-2020),"A bill to extend the Generalized System of Preferences, and for other purposes.",,"Grassley, Chuck [Sen.-R-IA]",,9/24/20,0,,,Senate - Finance,Read twice and referred to the Committee on Finance.,9/24/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foreign Trade and International Finance,User charges and fees,Customs enforcement,Free trade and trade barriers,South Korea,Tariffs,Asia,Trade restrictions,Trade agreements and negotiations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4734,https://www.congress.gov/bill/116th-congress/senate-bill/4734,116th Congress (2019-2020),COMP Act,,"Portman, Rob [Sen.-R-OH]",,9/24/20,1,,,Senate - Finance,Read twice and referred to the Committee on Finance.,9/24/20,"Cardin, Benjamin L. [Sen.-D-MD]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Worker safety and health,Health,Medicare,State and local finance,Health care costs and insurance,Employee benefits and pensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4742,https://www.congress.gov/bill/116th-congress/senate-bill/4742,116th Congress (2019-2020),CLINICAL TREATMENT Act,,"Burr, Richard [Sen.-R-NC]",,9/29/20,2,,,Senate - Finance,Read twice and referred to the Committee on Finance.,9/29/20,"Brown, Sherrod [Sen.-D-OH]","Cardin, Benjamin L. [Sen.-D-MD]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,Medical research,Drug therapy,Cancer,Health care costs and insurance,Medicaid,Research administration and funding,Government studies and investigations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4743,https://www.congress.gov/bill/116th-congress/senate-bill/4743,116th Congress (2019-2020),USACE Military Augmentation Act of 2020,,"Rounds, Mike [Sen.-R-SD]",,9/29/20,0,,,Senate - Environment and Public Works,Read twice and referred to the Committee on Environment and Public Works.,9/29/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government Operations and Politics,Wages and earnings,Military personnel and dependents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4744,https://www.congress.gov/bill/116th-congress/senate-bill/4744,116th Congress (2019-2020),Republic of Texas Legation Memorial Act,,"Cruz, Ted [Sen.-R-TX]",,9/29/20,0,,,Senate - Energy and Natural Resources,Read twice and referred to the Committee on Energy and Natural Resources.,9/29/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Lands and Natural Resources,Government trust funds,State and local government operations,Monuments and memorials,Texas,U.S. history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4746,https://www.congress.gov/bill/116th-congress/senate-bill/4746,116th Congress (2019-2020),TRICARE Retiree Protection Act,,"Daines, Steve [Sen.-R-MT]",,9/29/20,1,,,Senate - Armed Services,Read twice and referred to the Committee on Armed Services.,9/29/20,"Manchin, Joe, III [Sen.-D-WV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armed Forces and National Security,Health care coverage and access,Health care costs and insurance,Military personnel and dependents,Military medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4749,https://www.congress.gov/bill/116th-congress/senate-bill/4749,116th Congress (2019-2020),Preventing Future Pandemics Act of 2020,,"Cornyn, John [Sen.-R-TX]",,9/29/20,3,,,Senate - Foreign Relations,Read twice and referred to the Committee on Foreign Relations.,9/29/20,"Tillis, Thomas [Sen.-R-NC]","Carper, Thomas R. [Sen.-D-DE]","Booker, Cory A. [Sen.-D-NJ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government studies and investigations,Crimes against animals and natural resources,Farmland,Health promotion and preventive care,Land use and conservation,War and emergency powers,Agricultural marketing and promotion,Alternative treatments,Cardiovascular and respiratory health,Wildlife conservation and habitat protection,Animal and plant health,Infectious and parasitic diseases,International organizations and cooperation,Smuggling and trafficking,Veterinary medicine and animal diseases,World health,"Criminal investigation, prosecution, interrogation",Trade agreements and negotiations,Trade restrictions,Food industry and services,Foreign aid and international relief,Foreign property,International law and treaties,Meat,Emergency medical services and trauma care,"Food supply, safety, and labeling",Law enforcement officers,Livestock,Nutrition and diet,"Presidents and presidential powers, Vice Presidents",Sanctions,Visas and passports,Congressional oversight,Ecology,International monetary system and foreign exchange,Licensing and registrations,United Nations,International Affairs,Animal protection and human-animal relationships,Endangered and threatened species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4751,https://www.congress.gov/bill/116th-congress/senate-bill/4751,116th Congress (2019-2020),Charitable Conservation Easement Program Integrity Act of 2020,,"Daines, Steve [Sen.-R-MT]",,9/29/20,2,,,Senate - Finance,Read twice and referred to the Committee on Finance.,9/29/20,"Roberts, Pat [Sen.-R-KS]","Grassley, Chuck [Sen.-R-IA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4754,https://www.congress.gov/bill/116th-congress/senate-bill/4754,116th Congress (2019-2020),"A bill to amend the Internal Revenue Code of 1986 to establish COVID Recovery Bonds, and for other purposes.",,"Perdue, David [Sen.-R-GA]",,9/29/20,1,,,Senate - Finance,Read twice and referred to the Committee on Finance.,9/29/20,"Cassidy, Bill [Sen.-R-LA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxation,Building construction,Judicial procedure and administration,Libraries and archives,Educational facilities and institutions,Electric power generation and transmission,Elementary and secondary education,Emergency medical services and trauma care,"Energy storage, supplies, demand",First responders and emergency personnel,"Government buildings, facilities, and property",Health facilities and institutions,Higher education,Income tax exclusion,"Interest, dividends, interest rates",State and local finance,Securities,Oil and gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
