Legislation Number,URL,Congress,Title,Amends Bill,Sponsor,Date Offered,Date of Introduction,Number of Cosponsors,Date Submitted,Date Proposed,Committees,Latest Action,Latest Action Date,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject
S. 2542,https://www.congress.gov/bill/114th-congress/senate-bill/2542,114th Congress (2015-2016),Cradle Act,,"Capito, Shelley Moore [Sen.-R-WV]",,2/11/16,1,,,Senate - Finance,Read twice and referred to the Committee on Finance.,2/11/16,"King, Angus S., Jr. [Sen.-I-ME]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Child health,"Drug, alcohol, tobacco use",Health,Health facilities and institutions,Licensing and registrations,Medicaid,Women's health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2554,https://www.congress.gov/bill/114th-congress/senate-bill/2554,114th Congress (2015-2016),Department of Veterans Affairs Accountability Act of 2016,,"Inhofe, James M. [Sen.-R-OK]",,2/11/16,1,,,Senate - Veterans' Affairs,Read twice and referred to the Committee on Veterans' Affairs.,2/11/16,"Lankford, James [Sen.-R-OK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Congressional oversight,Armed Forces and National Security,Department of Veterans Affairs,Employee performance,Employment discrimination and employee rights,"Government employee pay, benefits, personnel management","Government ethics and transparency, public corruption",Government studies and investigations,Administrative remedies,Veterans' medical care,Prescription drugs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2555,https://www.congress.gov/bill/114th-congress/senate-bill/2555,114th Congress (2015-2016),MOBILE NOW Act,,"Thune, John [Sen.-R-SD]",,2/11/16,1,,,"Senate - Commerce, Science, and Transportation","By Senator Thune from Committee on Commerce, Science, and Transportation filed written report under authority of the order of the Senate of 12/10/2016. Report No. 114-427.",12/20/16,"Nelson, Bill [Sen.-D-FL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transportation programs funding,User charges and fees,Administrative law and regulatory procedures,Civil actions and liability,Congressional oversight,Consumer affairs,Education of the disadvantaged,Elementary and secondary education,Federal Communications Commission (FCC),"Government buildings, facilities, and property",Government information and archives,Government studies and investigations,Internet and video services,Land use and conservation,Licensing and registrations,Roads and highways,Rural conditions and development,"Science, Technology, Communications",State and local taxation,Technology transfer and commercialization,Telephone and wireless communication,"Internet, web applications, social media",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2559,https://www.congress.gov/bill/114th-congress/senate-bill/2559,114th Congress (2015-2016),Naval Station Guantanamo Bay Protection Act,,"Burr, Richard [Sen.-R-NC]",,2/22/16,12,,,Senate - Armed Services,Read twice and referred to the Committee on Armed Services.,2/22/16,"Ayotte, Kelly [Sen.-R-NH]","Cotton, Tom [Sen.-R-AR]","Kirk, Mark Steven [Sen.-R-IL]","Rubio, Marco [Sen.-R-FL]","Roberts, Pat [Sen.-R-KS]","Blunt, Roy [Sen.-R-MO]","Moran, Jerry [Sen.-R-KS]","Capito, Shelley Moore [Sen.-R-WV]","Tillis, Thomas [Sen.-R-NC]","Daines, Steve [Sen.-R-MT]","Gardner, Cory [Sen.-R-CO]","Cornyn, John [Sen.-R-TX]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Affairs,Cuba,Congressional oversight,Caribbean area,Latin America,Military facilities and property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2561,https://www.congress.gov/bill/114th-congress/senate-bill/2561,114th Congress (2015-2016),Protection of Children Act of 2016,,"Sessions, Jeff [Sen.-R-AL]",,2/22/16,1,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,2/22/16,"Johnson, Ron [Sen.-R-WI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lawyers and legal services,Latin America,"Refugees, asylum, displaced persons",Administrative remedies,Adoption and foster care,Border security and unlawful immigration,Canada,Child safety and welfare,Crime victims,Crimes against children,Department of Homeland Security,Detention of persons,Government information and archives,Human trafficking,Immigration status and procedures,International Affairs,International law and treaties,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2563,https://www.congress.gov/bill/114th-congress/senate-bill/2563,114th Congress (2015-2016),POSTURE Act of 2016,,"Moran, Jerry [Sen.-R-KS]",,2/22/16,2,,,Senate - Armed Services,Read twice and referred to the Committee on Armed Services.,2/22/16,"Blunt, Roy [Sen.-R-MO]","Perdue, David [Sen.-R-GA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armed Forces and National Security,National Guard and reserves,Military readiness,Military personnel and dependents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2564,https://www.congress.gov/bill/114th-congress/senate-bill/2564,114th Congress (2015-2016),Dine College Act of 2016,,"Flake, Jeff [Sen.-R-AZ]",,2/23/16,3,,,Senate - Indian Affairs,Placed on Senate Legislative Calendar under General Orders. Calendar No. 666.,11/15/16,"McCain, John [Sen.-R-AZ]","Udall, Tom [Sen.-D-NM]","Heinrich, Martin [Sen.-D-NM]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arizona,Congressional oversight,Education programs funding,Educational facilities and institutions,Vocational and technical education,Higher education,Indian social and development programs,Minority education,Native Americans,Government studies and investigations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2565,https://www.congress.gov/bill/114th-congress/senate-bill/2565,114th Congress (2015-2016),Protecting Families Affected by Substance Abuse Act,,"Grassley, Chuck [Sen.-R-IA]",,2/23/16,1,,,Senate - Finance,Read twice and referred to the Committee on Finance.,2/23/16,"McConnell, Mitch [Sen.-R-KY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Child safety and welfare,Drug trafficking and controlled substances,"Drug, alcohol, tobacco use",Social Welfare,Government information and archives,Prescription drugs,Family services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2570,https://www.congress.gov/bill/114th-congress/senate-bill/2570,114th Congress (2015-2016),Unfunded Mandates Accountability Act of 2016,,"Portman, Rob [Sen.-R-OH]",,2/24/16,1,,,Senate - Homeland Security and Governmental Affairs,Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,2/24/16,"Crapo, Mike [Sen.-R-ID]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government Operations and Politics,Unemployment,Monetary policy,Judicial review and appeals,Government information and archives,Administrative law and regulatory procedures,Economic performance and conditions,Federal Reserve System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2574,https://www.congress.gov/bill/114th-congress/senate-bill/2574,114th Congress (2015-2016),Modernizing the Interstate Placement of Children in Foster Care Act,,"Grassley, Chuck [Sen.-R-IA]",,2/24/16,4,,,Senate - Finance,Read twice and referred to the Committee on Finance.,2/24/16,"Gillibrand, Kirsten E. [Sen.-D-NY]","Franken, Al [Sen.-D-MN]","Peters, Gary C. [Sen.-D-MI]","Blumenthal, Richard [Sen.-D-CT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intergovernmental relations,State and local government operations,Government information and archives,Family services,Families,Adoption and foster care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2576,https://www.congress.gov/bill/114th-congress/senate-bill/2576,114th Congress (2015-2016),Support Our Brave Law Enforcement Act,,"Ayotte, Kelly [Sen.-R-NH]",,2/24/16,1,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,2/24/16,"Capito, Shelley Moore [Sen.-R-WV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crime and Law Enforcement,Executive agency funding and structure,Law enforcement administration and funding,Congressional oversight,Department of Justice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2577,https://www.congress.gov/bill/114th-congress/senate-bill/2577,114th Congress (2015-2016),Justice for All Reauthorization Act of 2016,,"Cornyn, John [Sen.-R-TX]",,2/24/16,17,,,"House - Judiciary, Financial Services | Senate - Judiciary",Became Public Law No: 114-324.,12/16/16,"Leahy, Patrick J. [Sen.-D-VT]","Durbin, Richard J. [Sen.-D-IL]","Ayotte, Kelly [Sen.-R-NH]","Klobuchar, Amy [Sen.-D-MN]","Udall, Tom [Sen.-D-NM]","Portman, Rob [Sen.-R-OH]","Heller, Dean [Sen.-R-NV]","Collins, Susan M. [Sen.-R-ME]","Warner, Mark R. [Sen.-D-VA]","Hatch, Orrin G. [Sen.-R-UT]","Shaheen, Jeanne [Sen.-D-NH]","Feinstein, Dianne [Sen.-D-CA]","Burr, Richard [Sen.-R-NC]","Coons, Christopher A. [Sen.-D-DE]","Gillibrand, Kirsten E. [Sen.-D-NY]","Blunt, Roy [Sen.-R-MO]","Murray, Patty [Sen.-D-WA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accounting and auditing,Nursing,Public housing,Research administration and funding,Research and development,Sex offenses,State and local government operations,Violent crime,Women's health,Assault and harassment offenses,Congressional oversight,Correctional facilities and imprisonment,Crime and Law Enforcement,Crime victims,Crimes against women,"Criminal investigation, prosecution, interrogation",Criminal procedure and sentencing,Debt collection,Evidence and witnesses,Foreign language and bilingual programs,Genetics,Government studies and investigations,Health personnel,Law enforcement administration and funding,Lawyers and legal services,Medical tests and diagnostic methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2580,https://www.congress.gov/bill/114th-congress/senate-bill/2580,114th Congress (2015-2016),RAISE Act of 2016,,"Barrasso, John [Sen.-R-WY]",,2/25/16,0,,,Senate - Indian Affairs,Placed on Senate Legislative Calendar under General Orders. Calendar No. 684.,11/17/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian social and development programs,Minority education,Native Americans,Federal officials,Department of the Interior,Elementary and secondary education,Executive agency funding and structure,"Teaching, teachers, curricula",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2581,https://www.congress.gov/bill/114th-congress/senate-bill/2581,114th Congress (2015-2016),Biased IRS Audit Systems Prevention Act,,"Burr, Richard [Sen.-R-NC]",,2/25/16,0,,,Senate - Finance,Read twice and referred to the Committee on Finance.,2/25/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Computer security and identity theft,Department of the Treasury,Fraud offenses and financial crimes,Taxation,Internal Revenue Service (IRS),"Tax administration and collection, taxpayers",Government studies and investigations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2582,https://www.congress.gov/bill/114th-congress/senate-bill/2582,114th Congress (2015-2016),Midnight Rule Relief Act of 2016,,"Ernst, Joni [Sen.-R-IA]",,2/25/16,1,,,Senate - Homeland Security and Governmental Affairs,Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,2/25/16,"Johnson, Ron [Sen.-R-WI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Administrative law and regulatory procedures,Competition and antitrust,"Competitiveness, trade promotion, trade deficits",Economic performance and conditions,Unemployment,Government Operations and Politics,Inflation and prices,"Presidents and presidential powers, Vice Presidents",Small business,"Elections, voting, political campaign regulation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2584,https://www.congress.gov/bill/114th-congress/senate-bill/2584,114th Congress (2015-2016),Living Donor Protection Act of 2016,,"Kirk, Mark Steven [Sen.-R-IL]",,2/25/16,9,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",2/25/16,"Gillibrand, Kirsten E. [Sen.-D-NY]","Coons, Christopher A. [Sen.-D-DE]","Collins, Susan M. [Sen.-R-ME]","Schumer, Charles E. [Sen.-D-NY]","Murphy, Christopher [Sen.-D-CT]","Grassley, Chuck [Sen.-R-IA]","Menendez, Robert [Sen.-D-NJ]","King, Angus S., Jr. [Sen.-I-ME]","Blumenthal, Richard [Sen.-D-CT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disability and health-based discrimination,Disability assistance,Employee leave,Government information and archives,Health,Surgery and anesthesia,Health care coverage and access,Health information and medical records,"Life, casualty, property insurance","Long-term, rehabilitative, and terminal care",Organ and tissue donation and transplantation,Health care costs and insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2585,https://www.congress.gov/bill/114th-congress/senate-bill/2585,114th Congress (2015-2016),Airspace Management Advisory Committee Act of 2016,,"Flake, Jeff [Sen.-R-AZ]",,2/25/16,1,,,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",2/25/16,"McCain, John [Sen.-R-AZ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Administrative law and regulatory procedures,Advisory bodies,Transportation and Public Works,Department of Transportation,Government information and archives,Aviation and airports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2589,https://www.congress.gov/bill/114th-congress/senate-bill/2589,114th Congress (2015-2016),Terrorist Release Transparency Act,,"Johnson, Ron [Sen.-R-WI]",,2/25/16,0,,,Senate - Foreign Relations,Read twice and referred to the Committee on Foreign Relations.,2/25/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caribbean area,Congressional oversight,Terrorism,Military facilities and property,Detention of persons,International Affairs,Latin America,Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
