Legislation Number,URL,Congress,Title,Amends Bill,Sponsor,Date Offered,Date of Introduction,Number of Cosponsors,Date Submitted,Date Proposed,Committees,Latest Action,Latest Action Date,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject
S. 3913,https://www.congress.gov/bill/116th-congress/senate-bill/3913,116th Congress (2019-2020),End Double Taxation of Successful Consumer Claims Act,,"Cortez Masto, Catherine [Sen.-D-NV]",,6/8/20,5,,,Senate - Finance,Read twice and referred to the Committee on Finance.,6/8/20,"Harris, Kamala D. [Sen.-D-CA]","Brown, Sherrod [Sen.-D-OH]","Blumenthal, Richard [Sen.-D-CT]","Markey, Edward J. [Sen.-D-MA]","Van Hollen, Chris [Sen.-D-MD]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxation,Business ethics,Civil actions and liability,Income tax deductions,Legal fees and court costs,Consumer affairs,Consumer credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3919,https://www.congress.gov/bill/116th-congress/senate-bill/3919,116th Congress (2019-2020),Military Suicide Prevention in the 21st Century Act,,"Sinema, Kyrsten [Sen.-D-AZ]",,6/9/20,1,,,Senate - Armed Services,Read twice and referred to the Committee on Armed Services.,6/9/20,"Cotton, Tom [Sen.-R-AR]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armed Forces and National Security,Military medicine,Congressional oversight,Mental health,Telephone and wireless communication,Internet and video services,Health promotion and preventive care,Military personnel and dependents,"Internet, web applications, social media",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3924,https://www.congress.gov/bill/116th-congress/senate-bill/3924,116th Congress (2019-2020),Computer and Internet Access Equity Act,,"Durbin, Richard J. [Sen.-D-IL]",,6/9/20,0,,,Senate - Finance,Read twice and referred to the Committee on Finance. (text: CR S2809-2810),6/9/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Science, Technology, Communications",Government information and archives,Foreign language and bilingual programs,Poverty and welfare assistance,Marketing and advertising,Internet and video services,Income tax credits,Federal Communications Commission (FCC),Consumer affairs,Congressional oversight,Computers and information technology,Computer security and identity theft,Community life and organization,Assault and harassment offenses,Administrative law and regulatory procedures,Right of privacy,"Tax administration and collection, taxpayers",Telecommunication rates and fees,"Internet, web applications, social media",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3925,https://www.congress.gov/bill/116th-congress/senate-bill/3925,116th Congress (2019-2020),"A bill to protect the entitlement of individuals to Post-9/11 Educational Assistance who discontinue pursuit of a program of education during the national emergency relating to the COVID-19 pandemic, and for other purposes.",,"Blumenthal, Richard [Sen.-D-CT]",,6/9/20,1,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",6/9/20,"Brown, Sherrod [Sen.-D-OH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education,Cardiovascular and respiratory health,Emergency medical services and trauma care,Higher education,"Veterans' education, employment, rehabilitation",Student aid and college costs,"Teaching, teachers, curricula",Transportation costs,Infectious and parasitic diseases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3928,https://www.congress.gov/bill/116th-congress/senate-bill/3928,116th Congress (2019-2020),Continuity of the Economy Act of 2020,,"Peters, Gary C. [Sen.-D-MI]",,6/10/20,0,,,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",6/10/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commerce,Strategic materials and reserves,Rule of law and government transparency,Public-private cooperation,Property rights,Oil and gas,Military readiness,Materials,Manufacturing,Internet and video services,Pipelines,Telephone and wireless communication,Banking and financial institutions regulation,Computer security and identity theft,Congressional oversight,Currency,Economic performance and conditions,Electric power generation and transmission,Federal-Indian relations,Financial crises and stabilization,Foreign and international banking,Health programs administration and funding,Industrial policy and productivity,Intergovernmental relations,Appropriations,Financial services and investments,Transportation safety and security,Securities,"Health technology, devices, supplies","Internet, web applications, social media",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3929,https://www.congress.gov/bill/116th-congress/senate-bill/3929,116th Congress (2019-2020),"A bill to authorize pilot programs on the remote provision by the National Guard to State governments and National Guards in other States of cybersecurity technical assistance in training, preparation, and response to cyber incidents, and for other purposes.",,"Peters, Gary C. [Sen.-D-MI]",,6/10/20,0,,,Senate - Armed Services,Read twice and referred to the Committee on Armed Services.,6/10/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armed Forces and National Security,Computer security and identity theft,Congressional oversight,Defense spending,Government studies and investigations,Military civil functions,National Guard and reserves,Technology assessment,State and local government operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3935,https://www.congress.gov/bill/116th-congress/senate-bill/3935,116th Congress (2019-2020),"A bill to amend title 10, United States Code, to prohibit the burial in Arlington National Cemetery, Virginia, of any President or Vice President who is not a member or veteran of the Armed Forces.",,"Duckworth, Tammy [Sen.-D-IL]",,6/10/20,0,,,Senate - Veterans' Affairs,Read twice and referred to the Committee on Veterans' Affairs.,6/10/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armed Forces and National Security,Virginia,Veterans' organizations and recognition,"Presidents and presidential powers, Vice Presidents",Cemeteries and funerals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3943,https://www.congress.gov/bill/116th-congress/senate-bill/3943,116th Congress (2019-2020),Senior Corps Distance Volunteering Act,,"Klobuchar, Amy [Sen.-D-MN]",,6/11/20,1,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",6/11/20,"Cassidy, Bill [Sen.-R-LA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cardiovascular and respiratory health,Appropriations,Aging,Labor and Employment,Congressional oversight,"Social work, volunteer service, charitable organizations",National and community service,Internet and video services,Infectious and parasitic diseases,Executive agency funding and structure,Emergency medical services and trauma care,Corporation for National and Community Service,"Internet, web applications, social media",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3944,https://www.congress.gov/bill/116th-congress/senate-bill/3944,116th Congress (2019-2020),Break Free From Plastic Pollution Act of 2020,,"Udall, Tom [Sen.-D-NM]",,6/11/20,0,,,Senate - Environment and Public Works,Read twice and referred to the Committee on Environment and Public Works.,6/11/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Protection,Alternative and renewable resources,"Environmental assessment, monitoring, research",Environmental health,Government studies and investigations,Licensing and registrations,Retail and wholesale trades,User charges and fees,Administrative law and regulatory procedures,Air quality,Aquatic ecology,Climate change and greenhouse gases,Indian lands and resources rights,Marketing and advertising,Racial and ethnic relations,Civil actions and liability,"Drug, alcohol, tobacco use",Pollution liability,State and local taxation,Advanced technology and technological innovations,Environmental Protection Agency (EPA),Hazardous wastes and toxic substances,International organizations and cooperation,Manufacturing,Consumer affairs,Industrial facilities,"Social work, volunteer service, charitable organizations",Trade restrictions,Advisory bodies,Alcoholic beverages,Food industry and services,Government information and archives,Inflation and prices,Marine pollution,"Navigation, waterways, harbors",Oil and gas,Solid waste and recycling,Tax-exempt organizations,Accounting and auditing,Child health,"Food supply, safety, and labeling","Marine and coastal resources, fisheries",Performance measurement,State and local government operations,Water quality,Water use and supply,Worker safety and health,Business records,Congressional oversight,Ecology,Environmental regulatory procedures,Intergovernmental relations,Materials,Public-private cooperation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3946,https://www.congress.gov/bill/116th-congress/senate-bill/3946,116th Congress (2019-2020),Helicopter Safety Act of 2020,,"Feinstein, Dianne [Sen.-D-CA]",,6/11/20,5,,,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation. (Sponsor introductory remarks on measure: CR S2935)",6/11/20,"Schumer, Charles E. [Sen.-D-NY]","Gillibrand, Kirsten E. [Sen.-D-NY]","Blumenthal, Richard [Sen.-D-CT]","Markey, Edward J. [Sen.-D-MA]","Harris, Kamala D. [Sen.-D-CA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transportation safety and security,Administrative law and regulatory procedures,Aviation and airports,Department of Transportation,Transportation and Public Works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3947,https://www.congress.gov/bill/116th-congress/senate-bill/3947,116th Congress (2019-2020),Coronavirus Relief Flexibility for Students and Institutions Act,,"Kaine, Tim [Sen.-D-VA]",,6/11/20,0,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions. (Sponsor introductory remarks on measure: CR S2935-2936)",6/11/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Higher education,Education,Cardiovascular and respiratory health,Education programs funding,Wages and earnings,Emergency medical services and trauma care,Infectious and parasitic diseases,Student aid and college costs,"Teaching, teachers, curricula",Educational technology and distance education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3952,https://www.congress.gov/bill/116th-congress/senate-bill/3952,116th Congress (2019-2020),Protecting American Intellectual Property Act of 2020,,"Van Hollen, Chris [Sen.-D-MD]",,6/11/20,3,,,"Senate - Banking, Housing, and Urban Affairs",Held at the desk.,12/21/20,"Jones, Doug [Sen.-D-AL]","Tillis, Thomas [Sen.-R-NC]","Sasse, Ben [Sen.-R-NE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Affairs,Congressional oversight,Foreign property,War and emergency powers,Visas and passports,Trade secrets and economic espionage,Sanctions,"Presidents and presidential powers, Vice Presidents",Intellectual property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3953,https://www.congress.gov/bill/116th-congress/senate-bill/3953,116th Congress (2019-2020),FLIGHT Act,,"Coons, Christopher A. [Sen.-D-DE]",,6/11/20,3,,,Senate - Armed Services,Read twice and referred to the Committee on Armed Services.,6/11/20,"Carper, Thomas R. [Sen.-D-DE]","Scott, Tim [Sen.-R-SC]","Tillis, Thomas [Sen.-R-NC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armed Forces and National Security,Licensing and registrations,Minority education,Student aid and college costs,Employment and training programs,Aviation and airports,User charges and fees,Military education and training,Congressional oversight,Higher education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3954,https://www.congress.gov/bill/116th-congress/senate-bill/3954,116th Congress (2019-2020),Local Government Relief Act,,"Manchin, Joe, III [Sen.-D-WV]",,6/11/20,0,,,Senate - Finance,Read twice and referred to the Committee on Finance.,6/11/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government Operations and Politics,Cardiovascular and respiratory health,Emergency medical services and trauma care,State and local government operations,Health programs administration and funding,Infectious and parasitic diseases,State and local finance,Government information and archives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3956,https://www.congress.gov/bill/116th-congress/senate-bill/3956,116th Congress (2019-2020),End Police Use of Chokeholds Act of 2020,,"Klobuchar, Amy [Sen.-D-MN]",,6/11/20,2,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,6/11/20,"Gillibrand, Kirsten E. [Sen.-D-NY]","Smith, Tina [Sen.-D-MN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crime and Law Enforcement,Law enforcement officers,Detention of persons,"Criminal investigation, prosecution, interrogation",Assault and harassment offenses,Cardiovascular and respiratory health,Law enforcement administration and funding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3957,https://www.congress.gov/bill/116th-congress/senate-bill/3957,116th Congress (2019-2020),Confederate Monument Removal Act,,"Booker, Cory A. [Sen.-D-NJ]",,6/12/20,24,,,Senate - Rules and Administration,Read twice and referred to the Committee on Rules and Administration.,6/12/20,"Durbin, Richard J. [Sen.-D-IL]","Schumer, Charles E. [Sen.-D-NY]","Brown, Sherrod [Sen.-D-OH]","Klobuchar, Amy [Sen.-D-MN]","Sanders, Bernard [Sen.-I-VT]","Merkley, Jeff [Sen.-D-OR]","Bennet, Michael F. [Sen.-D-CO]","Coons, Christopher A. [Sen.-D-DE]","Blumenthal, Richard [Sen.-D-CT]","Schatz, Brian [Sen.-D-HI]","Heinrich, Martin [Sen.-D-NM]","Hirono, Mazie K. [Sen.-D-HI]","Warren, Elizabeth [Sen.-D-MA]","Markey, Edward J. [Sen.-D-MA]","Duckworth, Tammy [Sen.-D-IL]","Harris, Kamala D. [Sen.-D-CA]","Van Hollen, Chris [Sen.-D-MD]","Murray, Patty [Sen.-D-WA]","Warner, Mark R. [Sen.-D-VA]","Baldwin, Tammy [Sen.-D-WI]","Stabenow, Debbie [Sen.-D-MI]","Kaine, Tim [Sen.-D-VA]","Feinstein, Dianne [Sen.-D-CA]","Wyden, Ron [Sen.-D-OR]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. history,Military history,U.S. Capitol,"Art, artists, authorship","Museums, exhibitions, cultural centers",Conflicts and wars,Smithsonian Institution,Racial and ethnic relations,Congress,Appropriations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
