Legislation Number,URL,Congress,Title,Amends Bill,Sponsor,Date Offered,Date of Introduction,Number of Cosponsors,Date Submitted,Date Proposed,Committees,Latest Action,Latest Action Date,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject
S. 2639,https://www.congress.gov/bill/115th-congress/senate-bill/2639,115th Congress (2017-2018),CONSENT Act,,"Markey, Edward J. [Sen.-D-MA]",,4/10/18,3,,,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",4/10/18,"Kaine, Tim [Sen.-D-VA]","Blumenthal, Richard [Sen.-D-CT]","Smith, Tina [Sen.-D-MN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commerce,Administrative law and regulatory procedures,Business records,Civil actions and liability,Computer security and identity theft,Consumer affairs,Federal Trade Commission (FTC),Internet and video services,Right of privacy,State and local government operations,"Internet, web applications, social media",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2640,https://www.congress.gov/bill/115th-congress/senate-bill/2640,115th Congress (2017-2018),SAFE KIDS Act,,"Daines, Steve [Sen.-R-MT]",,4/10/18,1,,,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation. (Sponsor introductory remarks on measure: CR S2042)",4/10/18,"Blumenthal, Richard [Sen.-D-CT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marketing and advertising,Preschool education,Right of privacy,"Social work, volunteer service, charitable organizations",Internet and video services,Elementary and secondary education,Educational technology and distance education,Consumer affairs,Computer security and identity theft,Child safety and welfare,"Civil Rights and Liberties, Minority Issues",Student records,"Internet, web applications, social media",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2641,https://www.congress.gov/bill/115th-congress/senate-bill/2641,115th Congress (2017-2018),American Food for American Schools Act of 2018,,"Sullivan, Dan [Sen.-R-AK]",,4/10/18,1,,,"Senate - Agriculture, Nutrition, and Forestry","Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry.",4/10/18,"Cantwell, Maria [Sen.-D-WA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buy American requirements,Elementary and secondary education,Food industry and services,Government information and archives,Agriculture and Food,Agricultural trade,"Agricultural prices, subsidies, credit",Food assistance and relief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2642,https://www.congress.gov/bill/115th-congress/senate-bill/2642,115th Congress (2017-2018),Jobs Plus Recovery Act of 2018,,"Kaine, Tim [Sen.-D-VA]",,4/10/18,3,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions. (Sponsor introductory remarks on measure: CR S2042)",4/10/18,"Young, Todd [Sen.-R-IN]","Manchin, Joe, III [Sen.-D-WV]","Jones, Doug [Sen.-D-AL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mental health,Unemployment,Vocational and technical education,Labor and Employment,Home and outpatient care,Health programs administration and funding,Employment and training programs,"Drug, alcohol, tobacco use",Employee hiring,Medical tests and diagnostic methods,Performance measurement,Drug trafficking and controlled substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2643,https://www.congress.gov/bill/115th-congress/senate-bill/2643,115th Congress (2017-2018),GAS MONEY Saved Act,,"Markey, Edward J. [Sen.-D-MA]",,4/10/18,6,,,Senate - Environment and Public Works,Read twice and referred to the Committee on Environment and Public Works.,4/10/18,"Whitehouse, Sheldon [Sen.-D-RI]","Merkley, Jeff [Sen.-D-OR]","Bennet, Michael F. [Sen.-D-CO]","Blumenthal, Richard [Sen.-D-CT]","Van Hollen, Chris [Sen.-D-MD]","Smith, Tina [Sen.-D-MN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Administrative law and regulatory procedures,Air quality,Climate change and greenhouse gases,Department of Transportation,Energy efficiency and conservation,Environmental Protection Agency (EPA),Environmental Protection,Environmental regulatory procedures,Motor fuels,Motor vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2644,https://www.congress.gov/bill/115th-congress/senate-bill/2644,115th Congress (2017-2018),Special Counsel Independence and Integrity Act,,"Graham, Lindsey [Sen.-R-SC]",,4/11/18,3,,,Senate - Judiciary,Placed on Senate Legislative Calendar under General Orders. Calendar No. 393.,4/26/18,"Coons, Christopher A. [Sen.-D-DE]","Booker, Cory A. [Sen.-D-NJ]","Tillis, Thomas [Sen.-R-NC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crime and Law Enforcement,"Criminal investigation, prosecution, interrogation",Supreme Court,Federal officials,"Government ethics and transparency, public corruption",Judicial review and appeals,Department of Justice,Congressional oversight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2645,https://www.congress.gov/bill/115th-congress/senate-bill/2645,115th Congress (2017-2018),Access to Increased Drug Disposal Act of 2018,,"Ernst, Joni [Sen.-R-IA]",,4/11/18,4,,,Senate - Judiciary,Placed on Senate Legislative Calendar under General Orders. Calendar No. 474.,6/19/18,"Blumenthal, Richard [Sen.-D-CT]","Grassley, Chuck [Sen.-R-IA]","Coons, Christopher A. [Sen.-D-DE]","Manchin, Joe, III [Sen.-D-WV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Solid waste and recycling,Law enforcement administration and funding,Health programs administration and funding,Health facilities and institutions,Drug trafficking and controlled substances,Crime and Law Enforcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2646,https://www.congress.gov/bill/115th-congress/senate-bill/2646,115th Congress (2017-2018),CARE Act,,"Brown, Sherrod [Sen.-D-OH]",,4/11/18,1,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",4/11/18,"Capito, Shelley Moore [Sen.-R-WV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Drug, alcohol, tobacco use",Employment and training programs,Health programs administration and funding,Home and outpatient care,Labor and Employment,Mental health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2647,https://www.congress.gov/bill/115th-congress/senate-bill/2647,115th Congress (2017-2018),Food Labeling Modernization Act of 2018,,"Blumenthal, Richard [Sen.-D-CT]",,4/11/18,2,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",4/11/18,"Whitehouse, Sheldon [Sen.-D-RI]","Markey, Edward J. [Sen.-D-MA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,Government information and archives,"Food supply, safety, and labeling",Food and Drug Administration (FDA),Civil actions and liability,Allergies,Grain,Administrative law and regulatory procedures,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2648,https://www.congress.gov/bill/115th-congress/senate-bill/2648,115th Congress (2017-2018),Economic Modernization Act,,"Nelson, Bill [Sen.-D-FL]",,4/11/18,0,,,Senate - Finance,Read twice and referred to the Committee on Finance.,4/11/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2649,https://www.congress.gov/bill/115th-congress/senate-bill/2649,115th Congress (2017-2018),Energy Infrastructure Demand Response Act of 2018,,"Whitehouse, Sheldon [Sen.-D-RI]",,4/11/18,0,,,Senate - Energy and Natural Resources,Read twice and referred to the Committee on Energy and Natural Resources.,4/11/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy,Air quality,Congressional oversight,Electric power generation and transmission,Energy efficiency and conservation,Energy prices,"Energy storage, supplies, demand",Government studies and investigations,Oil and gas,Pipelines,Public utilities and utility rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2650,https://www.congress.gov/bill/115th-congress/senate-bill/2650,115th Congress (2017-2018),Aviation Empowerment Act,,"Lee, Mike [Sen.-R-UT]",,4/11/18,0,,,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",4/11/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transportation and Public Works,Administrative law and regulatory procedures,Aviation and airports,Department of Transportation,Licensing and registrations,Transportation employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2651,https://www.congress.gov/bill/115th-congress/senate-bill/2651,115th Congress (2017-2018),Fairness to Pet Owners Act of 2018,,"Blumenthal, Richard [Sen.-D-CT]",,4/11/18,1,,,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",4/11/18,"Lee, Mike [Sen.-R-UT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commerce,Administrative law and regulatory procedures,Civil actions and liability,Consumer affairs,Federal Trade Commission (FTC),Medical ethics,Prescription drugs,Veterinary medicine and animal diseases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2652,https://www.congress.gov/bill/115th-congress/senate-bill/2652,115th Congress (2017-2018),Stephen Michael Gleason Congressional Gold Medal Act,,"Cassidy, Bill [Sen.-R-LA]",,4/11/18,73,,,"House - Financial Services | Senate - Banking, Housing, and Urban Affairs",Became Public Law No: 115-415.,1/3/19,"Hoeven, John [Sen.-R-ND]","Ernst, Joni [Sen.-R-IA]","Shelby, Richard C. [Sen.-R-AL]","Wyden, Ron [Sen.-D-OR]","Enzi, Michael B. [Sen.-R-WY]","Risch, James E. [Sen.-R-ID]","Heitkamp, Heidi [Sen.-D-ND]","Murray, Patty [Sen.-D-WA]","Isakson, Johnny [Sen.-R-GA]","Cortez Masto, Catherine [Sen.-D-NV]","Carper, Thomas R. [Sen.-D-DE]","Wicker, Roger F. [Sen.-R-MS]","Merkley, Jeff [Sen.-D-OR]","Leahy, Patrick J. [Sen.-D-VT]","Cantwell, Maria [Sen.-D-WA]","Schumer, Charles E. [Sen.-D-NY]","Blumenthal, Richard [Sen.-D-CT]","Durbin, Richard J. [Sen.-D-IL]","Van Hollen, Chris [Sen.-D-MD]","Jones, Doug [Sen.-D-AL]","Stabenow, Debbie [Sen.-D-MI]","Hirono, Mazie K. [Sen.-D-HI]","Markey, Edward J. [Sen.-D-MA]","Peters, Gary C. [Sen.-D-MI]","Rubio, Marco [Sen.-R-FL]","Moran, Jerry [Sen.-R-KS]","McConnell, Mitch [Sen.-R-KY]","Murkowski, Lisa [Sen.-R-AK]","Sullivan, Dan [Sen.-R-AK]","Murphy, Christopher [Sen.-D-CT]","Gardner, Cory [Sen.-R-CO]","Manchin, Joe, III [Sen.-D-WV]","Nelson, Bill [Sen.-D-FL]","Roberts, Pat [Sen.-R-KS]","Coons, Christopher A. [Sen.-D-DE]","Schatz, Brian [Sen.-D-HI]","Warren, Elizabeth [Sen.-D-MA]","Daines, Steve [Sen.-R-MT]","Booker, Cory A. [Sen.-D-NJ]","Duckworth, Tammy [Sen.-D-IL]","Casey, Robert P., Jr. [Sen.-D-PA]","Inhofe, James M. [Sen.-R-OK]","Collins, Susan M. [Sen.-R-ME]","Reed, Jack [Sen.-D-RI]","Burr, Richard [Sen.-R-NC]","Crapo, Mike [Sen.-R-ID]","Corker, Bob [Sen.-R-TN]","Toomey, Patrick [Sen.-R-PA]","Kennedy, John [Sen.-R-LA]","Graham, Lindsey [Sen.-R-SC]","Menendez, Robert [Sen.-D-NJ]","Tillis, Thomas [Sen.-R-NC]","Boozman, John [Sen.-R-AR]","Cotton, Tom [Sen.-R-AR]","Cardin, Benjamin L. [Sen.-D-MD]","Whitehouse, Sheldon [Sen.-D-RI]","Grassley, Chuck [Sen.-R-IA]","Hyde-Smith, Cindy [Sen.-R-MS]","Barrasso, John [Sen.-R-WY]","Perdue, David [Sen.-R-GA]","Fischer, Deb [Sen.-R-NE]","Brown, Sherrod [Sen.-D-OH]","Young, Todd [Sen.-R-IN]","Rounds, Mike [Sen.-R-SD]","Cornyn, John [Sen.-R-TX]","Alexander, Lamar [Sen.-R-TN]","Klobuchar, Amy [Sen.-D-MN]","Tester, Jon [Sen.-D-MT]","King, Angus S., Jr. [Sen.-I-ME]","Feinstein, Dianne [Sen.-D-CA]","Shaheen, Jeanne [Sen.-D-NH]","Capito, Shelley Moore [Sen.-R-WV]","Portman, Rob [Sen.-R-OH]",,,,,,,,,,,,,,,,,,,,,,,,,,,Sports and Recreation,Disability and paralysis,Congressional tributes,Athletes,Musculoskeletal and skin diseases,Professional sports,Neurological disorders,Medical research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2653,https://www.congress.gov/bill/115th-congress/senate-bill/2653,115th Congress (2017-2018),Elder Poverty Relief Act,,"Wyden, Ron [Sen.-D-OR]",,4/12/18,2,,,Senate - Finance,Read twice and referred to the Committee on Finance. (Sponsor introductory remarks on measure: CR S2121-2123; text of measure as introduced: CR S2122-2123),4/12/18,"Brown, Sherrod [Sen.-D-OH]","Casey, Robert P., Jr. [Sen.-D-PA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Welfare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2654,https://www.congress.gov/bill/115th-congress/senate-bill/2654,115th Congress (2017-2018),Community Connect Grant Program Act of 2018,,"Smith, Tina [Sen.-D-MN]",,4/12/18,1,,,"Senate - Agriculture, Nutrition, and Forestry","Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry.",4/12/18,"Jones, Doug [Sen.-D-AL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Science, Technology, Communications",Building construction,Housing and community development funding,Internet and video services,Rural conditions and development,"Internet, web applications, social media",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2655,https://www.congress.gov/bill/115th-congress/senate-bill/2655,115th Congress (2017-2018),Promoting Hydropower Development and Jobs Act,,"Portman, Rob [Sen.-R-OH]",,4/12/18,1,,,Senate - Energy and Natural Resources,Read twice and referred to the Committee on Energy and Natural Resources.,4/12/18,"McCaskill, Claire [Sen.-D-MO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2656,https://www.congress.gov/bill/115th-congress/senate-bill/2656,115th Congress (2017-2018),Department of Veterans Affairs Oversight Enhancement Act of 2018,,"Young, Todd [Sen.-R-IN]",,4/12/18,1,,,Senate - Veterans' Affairs,Read twice and referred to the Committee on Veterans' Affairs.,4/12/18,"Klobuchar, Amy [Sen.-D-MN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armed Forces and National Security,Congressional oversight,Government studies and investigations,Health care quality,Veterans' medical care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2657,https://www.congress.gov/bill/115th-congress/senate-bill/2657,115th Congress (2017-2018),Opioid Peer Support Networks Act of 2018,,"Collins, Susan M. [Sen.-R-ME]",,4/12/18,1,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",4/12/18,"Shaheen, Jeanne [Sen.-D-NH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,Vocational and technical education,Mental health,Health programs administration and funding,Health personnel,"Drug, alcohol, tobacco use",Drug trafficking and controlled substances,Child health,Community life and organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2658,https://www.congress.gov/bill/115th-congress/senate-bill/2658,115th Congress (2017-2018),Protecting Newborns from Opioids Act,,"Nelson, Bill [Sen.-D-FL]",,4/12/18,1,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",4/12/18,"Rubio, Marco [Sen.-R-FL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,Child health,Drug trafficking and controlled substances,"Drug, alcohol, tobacco use",Health information and medical records,Health programs administration and funding,Women's health,Intergovernmental relations,Medical research,Medical tests and diagnostic methods,Research administration and funding,State and local government operations,Health promotion and preventive care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
