Legislation Number,URL,Congress,Title,Amends Bill,Sponsor,Date Offered,Date of Introduction,Number of Cosponsors,Date Submitted,Date Proposed,Committees,Latest Action,Latest Action Date,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject
S. 5201,https://www.congress.gov/bill/117th-congress/senate-bill/5201,117th Congress (2021-2022),Helen Keller National Center Reauthorization Act of 2022,,"Gillibrand, Kirsten E. [Sen.-D-NY]",,12/7/22,0,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",12/7/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Labor and Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 5202,https://www.congress.gov/bill/117th-congress/senate-bill/5202,117th Congress (2021-2022),Adult Education WORKS Act,,"Reed, Jack [Sen.-D-RI]",,12/7/22,1,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions. (Sponsor introductory remarks on measure: S7036)",12/7/22,"Young, Todd [Sen.-R-IN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education,Labor and Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 5204,https://www.congress.gov/bill/117th-congress/senate-bill/5204,117th Congress (2021-2022),DIPLOMA Act,,"Booker, Cory A. [Sen.-D-NJ]",,12/7/22,0,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",12/7/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 5205,https://www.congress.gov/bill/117th-congress/senate-bill/5205,117th Congress (2021-2022),Abandoned Well Remediation Research and Development Act,,"Lujan, Ben Ray [Sen.-D-NM]",,12/7/22,1,,,Senate - Energy and Natural Resources,Read twice and referred to the Committee on Energy and Natural Resources.,12/7/22,"Cramer, Kevin [Sen.-R-ND]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Protection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 5206,https://www.congress.gov/bill/117th-congress/senate-bill/5206,117th Congress (2021-2022),Dignity Act,,"Booker, Cory A. [Sen.-D-NJ]",,12/7/22,1,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,12/7/22,"Warren, Elizabeth [Sen.-D-MA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crime and Law Enforcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 5207,https://www.congress.gov/bill/117th-congress/senate-bill/5207,117th Congress (2021-2022),Supporting Innovation in Public Safety Act,,"Smith, Tina [Sen.-D-MN]",,12/7/22,0,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,12/7/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crime and Law Enforcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 5208,https://www.congress.gov/bill/117th-congress/senate-bill/5208,117th Congress (2021-2022),Aviation Workforce Development Act,,"Klobuchar, Amy [Sen.-D-MN]",,12/7/22,1,,,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",12/7/22,"Thune, John [Sen.-R-SD]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transportation and Public Works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 5209,https://www.congress.gov/bill/117th-congress/senate-bill/5209,117th Congress (2021-2022),Student Loan Literacy Act of 2022,,"Gillibrand, Kirsten E. [Sen.-D-NY]",,12/7/22,5,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",12/7/22,"Booker, Cory A. [Sen.-D-NJ]","Duckworth, Tammy [Sen.-D-IL]","Klobuchar, Amy [Sen.-D-MN]","Padilla, Alex [Sen.-D-CA]","Merkley, Jeff [Sen.-D-OR]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 5210,https://www.congress.gov/bill/117th-congress/senate-bill/5210,117th Congress (2021-2022),Crypto-Asset Environmental Transparency Act of 2022,,"Markey, Edward J. [Sen.-D-MA]",,12/7/22,1,,,Senate - Environment and Public Works,Read twice and referred to the Committee on Environment and Public Works.,12/7/22,"Merkley, Jeff [Sen.-D-OR]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Protection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 5211,https://www.congress.gov/bill/117th-congress/senate-bill/5211,117th Congress (2021-2022),Interdiction for the Protection of Child Victims of Exploitation and Human Trafficking Act,,"Cortez Masto, Catherine [Sen.-D-NV]",,12/8/22,1,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,12/8/22,"Cornyn, John [Sen.-R-TX]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crime and Law Enforcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 5212,https://www.congress.gov/bill/117th-congress/senate-bill/5212,117th Congress (2021-2022),I CAN Act,,"Merkley, Jeff [Sen.-D-OR]",,12/8/22,0,,,Senate - Finance,Read twice and referred to the Committee on Finance.,12/8/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 5213,https://www.congress.gov/bill/117th-congress/senate-bill/5213,117th Congress (2021-2022),No Tax Subsidies for E-Cigarette and Tobacco Ads Act,,"Shaheen, Jeanne [Sen.-D-NH]",,12/8/22,6,,,Senate - Finance,Read twice and referred to the Committee on Finance.,12/8/22,"Reed, Jack [Sen.-D-RI]","Merkley, Jeff [Sen.-D-OR]","Brown, Sherrod [Sen.-D-OH]","Durbin, Richard J. [Sen.-D-IL]","Blumenthal, Richard [Sen.-D-CT]","Van Hollen, Chris [Sen.-D-MD]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 5214,https://www.congress.gov/bill/117th-congress/senate-bill/5214,117th Congress (2021-2022),Methane Emissions Research Act of 2022,,"Merkley, Jeff [Sen.-D-OR]",,12/8/22,1,,,Senate - Environment and Public Works,Read twice and referred to the Committee on Environment and Public Works.,12/8/22,"Whitehouse, Sheldon [Sen.-D-RI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Protection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 5215,https://www.congress.gov/bill/117th-congress/senate-bill/5215,117th Congress (2021-2022),Collaborative Modifications to Aging Infrastructure Projects Act,,"Feinstein, Dianne [Sen.-D-CA]",,12/8/22,1,,,Senate - Energy and Natural Resources,Read twice and referred to the Committee on Energy and Natural Resources.,12/8/22,"Padilla, Alex [Sen.-D-CA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transportation and Public Works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 5216,https://www.congress.gov/bill/117th-congress/senate-bill/5216,117th Congress (2021-2022),Close Big Oil Tax Loopholes Act,,"Menendez, Robert [Sen.-D-NJ]",,12/8/22,6,,,Senate - Finance,Read twice and referred to the Committee on Finance.,12/8/22,"Padilla, Alex [Sen.-D-CA]","Booker, Cory A. [Sen.-D-NJ]","Murray, Patty [Sen.-D-WA]","Cardin, Benjamin L. [Sen.-D-MD]","Hirono, Mazie K. [Sen.-D-HI]","Shaheen, Jeanne [Sen.-D-NH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 5217,https://www.congress.gov/bill/117th-congress/senate-bill/5217,117th Congress (2021-2022),Use it or Lose it Act of 2022,,"Menendez, Robert [Sen.-D-NJ]",,12/8/22,1,,,Senate - Energy and Natural Resources,Read twice and referred to the Committee on Energy and Natural Resources.,12/8/22,"Reed, Jack [Sen.-D-RI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 5218,https://www.congress.gov/bill/117th-congress/senate-bill/5218,117th Congress (2021-2022),Clarifying Civil Rights Remedies Act of 2022,,"Murray, Patty [Sen.-D-WA]",,12/8/22,11,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",12/8/22,"Baldwin, Tammy [Sen.-D-WI]","Blumenthal, Richard [Sen.-D-CT]","Booker, Cory A. [Sen.-D-NJ]","Brown, Sherrod [Sen.-D-OH]","Casey, Robert P., Jr. [Sen.-D-PA]","Feinstein, Dianne [Sen.-D-CA]","Kaine, Tim [Sen.-D-VA]","Durbin, Richard J. [Sen.-D-IL]","Duckworth, Tammy [Sen.-D-IL]","Sanders, Bernard [Sen.-I-VT]","Whitehouse, Sheldon [Sen.-D-RI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Civil Rights and Liberties, Minority Issues",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 5219,https://www.congress.gov/bill/117th-congress/senate-bill/5219,117th Congress (2021-2022),Restaurant Revitalization Tax Credit Act,,"Cardin, Benjamin L. [Sen.-D-MD]",,12/8/22,2,,,Senate - Finance,Read twice and referred to the Committee on Finance.,12/8/22,"Brown, Sherrod [Sen.-D-OH]","Murray, Patty [Sen.-D-WA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 5220,https://www.congress.gov/bill/117th-congress/senate-bill/5220,117th Congress (2021-2022),Small Business Administration Reauthorization and Modernization Act of 2022,,"Cardin, Benjamin L. [Sen.-D-MD]",,12/8/22,0,,,Senate - Small Business and Entrepreneurship,Read twice and referred to the Committee on Small Business and Entrepreneurship.,12/8/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 5221,https://www.congress.gov/bill/117th-congress/senate-bill/5221,117th Congress (2021-2022),STEP Improvement Act of 2022,,"Shaheen, Jeanne [Sen.-D-NH]",,12/8/22,0,,,Senate - Small Business and Entrepreneurship,Read twice and referred to the Committee on Small Business and Entrepreneurship.,12/8/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commerce,Executive agency funding and structure,State and local finance,Small Business Administration,Performance measurement,Minority and disadvantaged businesses,Congressional oversight,Women in business,Government information and archives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 5222,https://www.congress.gov/bill/117th-congress/senate-bill/5222,117th Congress (2021-2022),Maintaining and Enhancing Hydroelectricity and River Restoration Act of 2022,,"Cantwell, Maria [Sen.-D-WA]",,12/8/22,3,,,Senate - Finance,Read twice and referred to the Committee on Finance.,12/8/22,"Stabenow, Debbie [Sen.-D-MI]","Sullivan, Dan [Sen.-R-AK]","Murkowski, Lisa [Sen.-R-AK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 5223,https://www.congress.gov/bill/117th-congress/senate-bill/5223,117th Congress (2021-2022),"Housing, Opportunity, Mobility, and Equity Act of 2022",,"Booker, Cory A. [Sen.-D-NJ]",,12/8/22,0,,,Senate - Finance,Read twice and referred to the Committee on Finance.,12/8/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Housing and Community Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 5224,https://www.congress.gov/bill/117th-congress/senate-bill/5224,117th Congress (2021-2022),Family Farmer and Rancher Tax Fairness Act of 2022,,"Booker, Cory A. [Sen.-D-NJ]",,12/8/22,3,,,Senate - Finance,Read twice and referred to the Committee on Finance.,12/8/22,"Stabenow, Debbie [Sen.-D-MI]","Warnock, Raphael G. [Sen.-D-GA]","Smith, Tina [Sen.-D-MN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 5225,https://www.congress.gov/bill/117th-congress/senate-bill/5225,117th Congress (2021-2022),"A bill to designate the facility of the United States Postal Service located at 10 Broadway Street West in Akeley, Minnesota, as the ""Neal Kenneth Todd Post Office"".",,"Klobuchar, Amy [Sen.-D-MN]",,12/8/22,1,,,Senate - Homeland Security and Governmental Affairs,Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,12/8/22,"Smith, Tina [Sen.-D-MN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 5226,https://www.congress.gov/bill/117th-congress/senate-bill/5226,117th Congress (2021-2022),NTZ Act,,"Klobuchar, Amy [Sen.-D-MN]",,12/8/22,1,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,12/8/22,"Cornyn, John [Sen.-R-TX]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crime and Law Enforcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 5227,https://www.congress.gov/bill/117th-congress/senate-bill/5227,117th Congress (2021-2022),Reproductive Health Travel Fund Act of 2022,,"Baldwin, Tammy [Sen.-D-WI]",,12/8/22,10,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",12/8/22,"Sanders, Bernard [Sen.-I-VT]","Whitehouse, Sheldon [Sen.-D-RI]","Smith, Tina [Sen.-D-MN]","Blumenthal, Richard [Sen.-D-CT]","Brown, Sherrod [Sen.-D-OH]","Hirono, Mazie K. [Sen.-D-HI]","Feinstein, Dianne [Sen.-D-CA]","Murray, Patty [Sen.-D-WA]","Merkley, Jeff [Sen.-D-OR]","Duckworth, Tammy [Sen.-D-IL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 5229,https://www.congress.gov/bill/117th-congress/senate-bill/5229,117th Congress (2021-2022),"A bill to direct the Joint Committee of Congress on the Library to remove the bust of Roger Brooke Taney in the Old Supreme Court Chamber of the Capitol and to obtain a bust of Thurgood Marshall for installation in the Capitol or on the Capitol Grounds, and for other purposes.",,"Cardin, Benjamin L. [Sen.-D-MD]",,12/8/22,3,,,,Became Public Law No: 117-326.,12/27/22,"Van Hollen, Chris [Sen.-D-MD]","Booker, Cory A. [Sen.-D-NJ]","Klobuchar, Amy [Sen.-D-MN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Congress,U.S. Capitol,Supreme Court,Monuments and memorials,Judges,U.S. history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 5230,https://www.congress.gov/bill/117th-congress/senate-bill/5230,117th Congress (2021-2022),Billy's Law,,"Murphy, Christopher [Sen.-D-CT]",,12/8/22,4,,,,Became Public Law No: 117-327.,12/27/22,"Tillis, Thomas [Sen.-R-NC]","Blumenthal, Richard [Sen.-D-CT]","Hoeven, John [Sen.-R-ND]","Cornyn, John [Sen.-R-TX]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crime and Law Enforcement,State and local government operations,Missing persons,Law enforcement administration and funding,Intergovernmental relations,Government studies and investigations,Government information and archives,Employee hiring,Criminal justice information and records,Congressional oversight,Technology assessment,Computers and information technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
